objid,ra,dec,u,g,r,petroR50_r,petroR90_r,fracDeV_r,deVAB_r,expAB_r,redshift,u_r,u_g,g_r,C_r,morphology,morph_colorcut
1237648702991368507,240.263150217158,-1.15723913431869,18.48889,16.28364,15.1876,4.358932,15.33411,1.0,0.9290096,0.8762459,0.05815966,3.3012900000000016,2.205250000000003,1.0960399999999986,3.5178594206103697,elliptical,elliptical
1237648703507136653,192.049227124284,-0.746387118172168,18.94537,17.24013,16.34089,3.135824,8.693059,0.5147656,0.2216658,0.2420666,0.08413588,2.604479999999999,1.7052399999999999,0.8992399999999989,2.7721769461551413,elliptical,elliptical
1237648702975639705,204.347610240838,-1.08667381562673,19.62761,17.72125,16.8343,1.618308,4.692307,1.0,0.9507471,0.9427838,0.07090822,2.7933100000000017,1.9063599999999994,0.8869500000000023,2.89951418395015,elliptical,elliptical
1237648702967971957,186.762215856573,-1.20676033606978,19.21375,17.61476,16.78795,2.05789,5.653123,0.7038658,0.2473173,0.2907914,0.07218131,2.4258000000000024,1.5989900000000006,0.8268100000000018,2.747048190136499,elliptical,elliptical
1237648704054231257,215.423109390319,-0.337707577874491,18.23823,16.30048,15.43029,2.315058,6.615247,0.8093299,0.5182694,0.5111766,0.05195385,2.807940000000002,1.9377500000000012,0.8701900000000009,2.857486507897426,elliptical,elliptical
1237648704066814286,244.22393481673,-0.325039153629951,19.95861,17.86404,16.85982,1.66519,5.180439,1.0,0.7385734,0.6877248,0.09379727,3.098790000000001,2.094570000000001,1.0042200000000001,3.11101976351047,elliptical,elliptical
1237648703510741170,200.296401316215,-0.719005371972555,19.77916,17.9263,16.92201,2.162527,6.557269,1.0,0.8265767,0.789843,0.1072724,2.8571500000000007,1.8528599999999997,1.004290000000001,3.0322252623897876,elliptical,elliptical
1237648704602832971,242.193679928633,0.207518363713862,19.69525,17.39015,16.35837,6.262795,18.06684,0.2533244,0.230428,0.2342688,0.05767947,3.3368800000000007,2.305100000000003,1.0317799999999977,2.8847886606539093,elliptical,elliptical
1237648704578715801,187.152469675413,0.199400236364474,19.64693,17.68513,16.70355,1.562246,4.307748,1.0,0.6889812,0.7633874,0.1103187,2.943380000000001,1.9618000000000002,0.981580000000001,2.7574069640760803,elliptical,elliptical
1237648704586711165,205.332880270468,0.169428277420458,19.87346,18.06294,16.95826,2.472094,6.759081,0.9301006,0.5088361,0.4865677,0.1504248,2.9152000000000022,1.8105200000000004,1.1046800000000019,2.734152099394279,elliptical,elliptical
1237648704591364326,216.034130524002,0.105767579516762,19.87739,17.87745,16.64096,3.076775,9.005855,1.0,0.706678,0.7755959,0.1673049,3.2364299999999986,1.9999399999999987,1.2364899999999999,2.9270437389799384,elliptical,elliptical
1237648704049905959,205.550849987434,-0.293800214450161,18.87904,17.15843,16.51672,1.401746,3.803449,0.9098275,0.5848685,0.6342334,0.08609245,2.3623200000000004,1.7206100000000006,0.6417099999999998,2.713365331522259,elliptical,elliptical
1237648702983241799,221.699184117667,-1.21975776655543,19.59298,17.71847,16.97877,1.205145,3.711125,1.0,0.8054155,0.8343261,0.0830382,2.61421,1.8745100000000008,0.7396999999999991,3.0794012338764216,elliptical,elliptical
1237648703516311675,213.103556328225,-0.83200545066132,16.97803,16.0934,15.64465,2.593659,7.231571,0.5816523,0.6688718,0.6659466,0.02600801,1.33338,0.8846300000000014,0.44874999999999865,2.788173387480775,elliptical,spiral
1237646797600391839,120.518073644459,0.453748005205993,19.92902,17.85687,16.82621,1.648196,5.29405,1.0,0.921871,0.9826471,0.09391728,3.1028100000000016,2.0721500000000006,1.030660000000001,3.2120269676664672,elliptical,elliptical
1237648703508840617,195.994726086497,-0.750706691744081,19.87715,17.88947,16.93623,1.522806,4.402708,1.0,0.6246235,0.6343554,0.08491749,2.940920000000002,1.987680000000001,0.953240000000001,2.891181148485099,elliptical,elliptical
1237648673992671682,237.973568456141,-0.0648552132280371,19.80505,17.83565,16.88223,1.918478,6.122854,1.0,0.9302717,0.9111871,0.08912047,2.9228200000000015,1.9694000000000003,0.9534200000000013,3.1915163999795673,elliptical,elliptical
1237648703508316414,194.836761547904,-0.639453406385664,18.08944,16.15678,15.21596,3.612876,11.8712,1.0,0.6985015,0.6311386,0.08037489,2.873479999999999,1.9326599999999985,0.9408200000000004,3.285803332303683,elliptical,elliptical
1237648702975574175,204.223419011793,-1.09554791607488,17.65606,16.59451,16.17752,2.10193,6.188861,1.0,0.7040498,0.700582,0.04685168,1.4785399999999989,1.0615500000000004,0.4169899999999984,2.9443706498313458,elliptical,spiral
1237648705135706473,233.068156527688,0.632300937729501,18.71739,16.8447,15.91783,2.509195,8.24527,1.0,0.7540545,0.7182674,0.07226273,2.7995600000000014,1.8726900000000022,0.9268699999999992,3.286022011043382,elliptical,elliptical
1237648703505957004,189.342300318056,-0.791091347834888,18.70941,17.13908,16.36651,2.154269,6.510386,0.9938776,0.8659712,0.8741397,0.0637598,2.3428999999999967,1.5703299999999984,0.7725699999999982,3.0220859140617997,elliptical,elliptical
1237648675068969138,243.828327515219,0.772318374708,19.16411,17.27371,16.31466,3.054116,10.0387,1.0,0.5603015,0.5390701,0.08283905,2.849450000000001,1.8903999999999996,0.9590500000000013,3.286941294960637,elliptical,elliptical
